task,scene_id,candidate_id,x,y,theta,target_distance,rollout_id,seed,success,failure_type,visibility,ik_margin,collision,video_path,error
TurnOnStove,1,21,3.433663525418315,-0.9863326430653729,2.3561944901923457,0.6499999999999999,2,101212,False,policy_failure,True,0.3067010863234511,False,,
TurnOnStove,1,25,2.302292675519839,-1.198464677421338,1.3089969389957474,0.95,0,101250,False,policy_failure,True,0.15579525525229096,False,,
TurnOnStove,1,25,2.302292675519839,-1.198464677421338,1.3089969389957474,0.95,1,101251,False,policy_failure,True,0.15579525525229096,False,,
TurnOnStove,1,25,2.302292675519839,-1.198464677421338,1.3089969389957474,0.95,2,101252,False,policy_failure,True,0.15579525525229096,False,,
TurnOnStove,1,28,3.44904411764706,-1.3494373688893337,1.5707963267948983,0.95,0,101280,False,policy_failure,True,0.15579526682907058,False,,
TurnOnStove,1,28,3.44904411764706,-1.3494373688893337,1.5707963267948983,0.95,1,101281,False,policy_failure,True,0.15579526682907058,False,,
TurnOnStove,1,28,3.44904411764706,-1.3494373688893337,1.5707963267948983,0.95,2,101282,False,policy_failure,True,0.15579526682907058,False,,
TurnOnStove,1,30,3.6235631704853883,-0.9017132352941166,2.8797932657906458,0.7499999999999999,0,101300,False,policy_failure,True,0.2463309550988571,False,,
TurnOnStove,1,30,3.6235631704853883,-0.9017132352941166,2.8797932657906458,0.7499999999999999,1,101301,False,policy_failure,True,0.2463309550988571,False,,
TurnOnStove,1,30,3.6235631704853883,-0.9017132352941166,2.8797932657906458,0.7499999999999999,2,101302,False,policy_failure,True,0.2463309550988571,False,,
TurnOnStove,1,31,3.6235631704853883,-0.9017132352941166,-3.1415926535897913,0.7499999999999999,0,101310,False,policy_failure,True,0.22301751948714038,False,,
TurnOnStove,1,31,3.6235631704853883,-0.9017132352941166,-3.1415926535897913,0.7499999999999999,1,101311,False,policy_failure,True,0.22301751948714038,False,,
TurnOnStove,1,31,3.6235631704853883,-0.9017132352941166,-3.1415926535897913,0.7499999999999999,2,101312,False,policy_failure,True,0.22301751948714038,False,,
